Name;YearOfBirth;CountryOfBirth
Christopher Nolan;1970;Wielka Brytania
Quentin Tarantino;1963;USA
Frank Darabont;1959;Francja
David Fincher;1962;USA
Steven Spielberg;1946;USA
Bong Joon-ho;1969;Korea Po?udniowa
George Miller;1945;Australia
Peter Jackson;1961;Nowa Zelandia
Ridley Scott;1937;Wielka Brytania
Ryan Coogler;1986;USA
Damien Chazelle;1985;USA
Wes Anderson;1969;USA
Spike Jonze;1969;USA
Alejandro Gonzalez Inarritu;1963;Meksyk
Steve McQueen;1969;Wielka Brytania
Denis Villeneuve;1967;Kanada
Jon Favreau;1966;USA
Johan Renck;1966;Szwecja
Noah Hawley;1967;USA
Scott Frank;1960;USA
Nic Pizzolatto;1975;USA
Jesse Armstrong;1971;Wielka Brytania
Chris Brancato;1962;USA
Joe Penhall;1967;Wielka Brytania
Jonathan Nolan;1976;Wielka Brytania
Eric Kripke;1974;USA
